City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,zhuhai,100,CN,1572980361,80,40.71,112.04,33.8,4.47
1,coutances,20,FR,1572980888,87,49.05,-1.45,54.0,12.75
2,zheleznodorozhnyy,75,RU,1572980820,76,55.75,38.0,54.0,13.42
3,ushuaia,75,AR,1572980305,86,-54.81,-68.31,44.6,21.92
4,qaanaaq,49,GL,1572980305,63,77.48,-69.36,4.41,9.48
5,albany,90,US,1572980079,58,42.65,-73.75,55.99,10.29
6,mataura,51,NZ,1572980889,95,-46.19,168.86,48.99,2.1
7,provideniya,0,RU,1572980889,86,64.42,-173.23,16.81,7.67
8,east london,72,ZA,1572980889,94,-33.02,27.91,69.8,8.05
9,xiamen,0,CN,1572980889,45,24.46,118.07,68.0,13.42
10,norman wells,75,CA,1572980890,92,65.28,-126.83,10.4,5.82
11,marienburg,75,DE,1572980890,93,52.12,9.98,51.01,6.93
12,pevek,90,RU,1572980890,80,69.7,170.27,12.07,2.91
13,kaitangata,8,NZ,1572980890,93,-46.28,169.85,51.01,4.21
14,bredasdorp,0,ZA,1572980867,59,-34.53,20.04,66.2,13.87
15,sitka,0,US,1572980890,43,37.17,-99.65,54.0,10.0
16,hobart,40,AU,1572980690,62,-42.88,147.33,52.0,10.29
17,airai,33,TL,1572980891,73,-8.93,125.41,65.62,2.71
18,rikitea,42,PF,1572980891,84,-23.12,-134.97,75.51,7.05
19,parintins,75,BR,1572980891,38,-2.63,-56.73,97.21,6.15
20,hilo,1,US,1572980891,65,19.71,-155.08,80.01,5.82
21,butaritari,29,KI,1572980300,75,3.07,172.79,83.97,12.59
22,castro,75,CL,1572980303,71,-42.48,-73.76,53.6,12.75
23,severo-kurilsk,85,RU,1572980344,89,50.68,156.12,33.98,18.1
24,geraldton,75,CA,1572980318,57,49.72,-86.95,17.6,11.41
25,avarua,100,CK,1572980892,83,-21.21,-159.78,71.6,3.36
26,cape town,20,ZA,1572980050,82,-33.93,18.42,66.0,14.99
27,kyzyl-suu,97,KG,1572980892,75,42.34,78.0,37.96,9.28
28,mar del plata,100,AR,1572980325,22,-46.43,-67.52,71.13,34.65
29,busselton,94,AU,1572980893,66,-33.64,115.35,48.0,9.82
30,saskylakh,79,RU,1572980010,97,71.97,114.09,-8.43,4.29
31,gull lake,90,CA,1572980893,92,50.1,-108.48,30.2,12.75
32,turayf,0,SA,1572980893,52,31.68,38.65,66.2,11.41
33,new norfolk,40,AU,1572980893,62,-42.78,147.06,52.0,10.29
34,ilhabela,12,BR,1572980334,75,-23.78,-45.36,82.24,4.25
35,havelock,1,US,1572980811,73,34.88,-76.9,73.99,6.93
36,dongying,36,CN,1572980894,61,37.43,118.67,50.67,4.54
37,chapais,75,CA,1572980305,80,49.78,-74.86,35.6,6.93
38,los llanos de aridane,20,ES,1572980374,78,28.66,-17.92,71.6,14.99
39,necochea,0,AR,1572980894,61,-38.55,-58.74,62.01,8.01
40,upernavik,100,GL,1572980304,65,72.79,-56.15,15.67,4.52
41,maraba,75,BR,1572980828,39,-5.35,-49.1,98.6,8.05
42,wanaka,100,NZ,1572980895,99,-44.7,169.14,43.65,1.39
43,tiarei,40,PF,1572980895,74,-17.53,-149.33,84.2,10.29
44,cherskiy,41,RU,1572980329,76,68.75,161.3,10.02,5.93
45,bathsheba,75,BB,1572980345,70,13.22,-59.52,86.0,21.92
46,yellowknife,75,CA,1572980103,72,62.45,-114.38,12.2,9.17
47,poya,77,NC,1572980895,78,-21.35,165.16,72.14,5.7
48,kruisfontein,93,ZA,1572980320,57,-34.0,24.73,62.71,1.95
49,port alfred,62,ZA,1572980324,92,-33.59,26.89,68.0,1.01
50,tiksi,97,RU,1572980324,98,71.64,128.87,-9.1,1.7
51,sao joao da barra,5,BR,1572980364,44,-21.64,-41.05,93.2,16.11
52,seoul,40,KR,1572980804,100,37.57,126.98,46.4,2.24
53,belaya gora,97,RU,1572980896,97,68.54,146.19,-1.59,2.53
54,camacha,75,PT,1572980896,63,33.08,-16.33,68.0,13.87
55,puerto ayora,75,EC,1572980337,69,-0.74,-90.35,77.0,9.17
56,amapa,75,HN,1572980897,74,15.09,-87.97,82.4,13.87
57,atuona,29,PF,1572980307,75,-9.8,-139.03,80.47,23.29
58,gambela,46,ET,1572980897,93,8.25,34.59,72.21,5.01
59,nizhniy tsasuchey,87,RU,1572980897,45,50.52,115.13,20.82,2.46
60,hermanus,8,ZA,1572980303,82,-34.42,19.24,64.99,1.01
61,ponta do sol,59,BR,1572980379,57,-20.63,-46.0,84.97,3.0
62,narsaq,75,GL,1572980898,33,60.91,-46.05,42.8,12.75
63,bintulu,75,MY,1572980898,94,3.17,113.03,75.2,1.9
64,san joaquin,74,PH,1572980898,90,10.59,122.14,77.09,6.17
65,klaksvik,99,FO,1572980333,74,62.23,-6.59,33.8,6.93
66,san quintin,100,PH,1572980307,95,17.54,120.52,71.96,5.28
67,longyearbyen,75,NO,1572980321,72,78.22,15.63,10.4,4.7
68,chernyshevskiy,5,RU,1572980899,93,63.01,112.47,-10.88,1.77
69,punta arenas,75,CL,1572980306,86,-53.16,-70.91,44.6,23.04
70,asyut,62,EG,1572980899,40,27.18,31.19,71.6,11.41
71,sioux lookout,90,CA,1572980095,61,50.1,-91.92,17.6,16.11
72,kampong thum,98,KH,1572980899,86,12.71,104.89,75.4,2.66
73,awbari,0,LY,1572980394,20,26.59,12.77,78.51,9.28
74,saint-philippe,90,CA,1572980306,87,45.36,-73.48,48.99,11.41
75,college,1,US,1572980317,84,64.86,-147.8,21.2,3.36
76,kavieng,100,PG,1572980330,83,-2.57,150.8,80.71,14.29
77,nikolskoye,75,RU,1572980369,86,59.7,30.79,35.01,11.18
78,bethel,90,US,1572980305,92,60.79,-161.76,26.6,27.16
79,walvis bay,73,NA,1572980318,60,-22.95,14.51,68.0,1.12
80,aswan,100,EG,1572980900,18,24.09,32.9,79.05,12.59
81,luderitz,82,NA,1572980315,56,-26.65,15.16,68.0,13.87
82,ambovombe,97,MG,1572980901,83,-25.18,46.09,70.34,13.27
83,dikson,100,RU,1572980319,85,73.51,80.55,1.71,13.87
84,kiama,3,AU,1572980312,87,-34.67,150.86,52.0,9.17
85,torbay,40,CA,1572980313,52,47.66,-52.73,46.99,9.17
86,kutum,0,SD,1572980902,17,14.2,24.66,76.08,4.76
87,vaini,99,IN,1572980308,92,15.34,74.49,70.29,0.2
88,hithadhoo,89,MV,1572980307,72,-0.6,73.08,82.27,6.35
89,timbiqui,72,CO,1572980904,90,2.77,-77.67,80.02,6.33
90,slave lake,75,CA,1572980904,72,55.28,-114.77,17.6,8.05
91,sambava,87,MG,1572980904,92,-14.27,50.17,71.15,2.73
92,verkhniy rohachyk,4,UA,1572980904,85,47.25,34.34,55.62,8.77
93,kapaa,1,US,1572980701,94,22.08,-159.32,75.2,6.93
94,bose,20,IT,1572980905,87,45.46,8.01,55.0,4.7
95,santa isabel do rio negro,93,BR,1572980326,54,-0.41,-65.02,92.26,1.14
96,kingaroy,74,AU,1572980905,56,-26.54,151.84,54.0,3.65
97,messina,20,IT,1572980905,77,38.19,15.55,72.0,4.7
98,codrington,0,AU,1572980343,87,-28.95,153.24,55.4,1.12
99,cabo san lucas,20,MX,1572980613,58,22.89,-109.91,88.0,4.7
100,eyl,100,SO,1572980906,81,7.98,49.82,80.4,5.61
101,rawson,0,AR,1572980385,43,-43.3,-65.11,63.88,22.37
102,savannah bight,0,HN,1572980906,72,16.45,-85.85,83.05,10.38
103,mwinilunga,63,ZM,1572980335,58,-11.73,24.43,72.05,4.36
104,muyezerskiy,0,RU,1572980906,90,63.93,31.65,15.22,4.21
105,yining,53,CN,1572980907,77,29.04,114.56,51.12,0.85
106,jamestown,15,AU,1572980157,42,-33.21,138.6,53.6,6.44
107,port lincoln,82,AU,1572980907,93,-34.72,135.86,53.65,10.29
108,daura,0,NG,1572980907,17,13.04,8.32,85.95,4.81
109,bodden town,20,KY,1572980907,62,19.28,-81.25,89.6,14.99
110,chokurdakh,100,RU,1572980326,93,70.62,147.9,4.21,9.28
111,port macquarie,0,AU,1572980907,81,-31.43,152.91,53.01,6.93
112,ribeira grande,75,PT,1572980315,63,38.52,-28.7,64.4,4.7
113,fortuna,90,US,1572980317,100,40.6,-124.16,53.01,3.36
114,sawtell,0,AU,1572980908,66,-30.38,153.1,55.4,9.17
115,kasangulu,40,CD,1572980908,65,-4.59,15.17,82.4,9.17
116,bluff,41,AU,1572980773,31,-23.58,149.07,60.73,7.23
117,morehead,90,US,1572980909,70,38.18,-83.43,53.6,4.74
118,kavaratti,2,IN,1572980909,81,10.57,72.64,81.61,13.87
119,colares,40,PT,1572980909,77,38.8,-9.45,62.6,9.17
120,inhambane,20,MZ,1572980357,20,-23.87,35.38,77.0,4.7
121,wamba,100,CD,1572980909,97,2.14,27.99,64.85,5.26
122,estevan,20,CA,1572980910,68,49.14,-102.99,28.4,6.93
123,buraydah,54,SA,1572980370,53,26.33,43.97,77.0,10.29
124,bahia honda,15,CU,1572980910,67,22.9,-83.16,82.76,9.82
125,ullapool,88,GB,1572980892,95,57.9,-5.16,39.0,1.39
126,port augusta,6,AU,1572980910,62,-32.49,137.76,55.4,6.93
127,japura,82,ID,1572980339,97,-0.42,102.29,74.07,1.05
128,redmond,90,US,1572980911,93,47.67,-122.12,50.0,2.15
129,alofi,54,NU,1572980362,88,-19.06,-169.92,69.8,5.82
130,ponta delgada,75,PT,1572980239,59,37.73,-25.67,64.4,8.05
131,antofagasta,20,CL,1572980321,63,-23.65,-70.4,64.4,16.11
132,ixtapa,75,MX,1572980180,58,20.71,-105.21,88.0,3.36
133,kopervik,75,NO,1572980911,69,59.28,5.31,46.0,9.17
134,vanavara,38,RU,1572980330,93,60.35,102.28,-0.21,2.98
135,shimoda,9,JP,1572980912,96,34.7,138.93,51.01,1.99
136,zeya,94,RU,1572980912,86,53.74,127.27,9.32,8.48
137,tasiilaq,90,GL,1572980341,86,65.61,-37.64,30.2,39.15
138,mahebourg,40,MU,1572980313,88,-20.41,57.7,73.4,3.36
139,hasaki,47,JP,1572980332,100,35.73,140.83,46.4,2.24
140,yulara,0,AU,1572980389,19,-25.24,130.99,59.0,6.93
141,khatanga,14,RU,1572980342,89,71.98,102.47,-5.36,4.85
142,mount isa,70,AU,1572980368,13,-20.73,139.49,69.8,8.05
143,houma,100,CN,1572980913,55,35.63,111.36,53.69,4.85
144,palivere,20,EE,1572980913,64,58.97,23.89,37.99,17.22
145,arraial do cabo,43,BR,1572980056,66,-22.97,-42.02,96.8,14.99
146,loa janan,32,ID,1572980914,96,-0.58,117.09,72.55,2.1
147,chifeng,88,CN,1572980914,28,42.27,118.96,30.94,3.65
148,thompson,90,CA,1572980298,78,55.74,-97.86,8.6,8.05
149,lipin bor,100,RU,1572980914,94,60.26,37.97,27.95,14.9
150,tessalit,10,ML,1572980914,12,20.2,1.01,86.27,6.93
151,mindelo,20,PT,1572980914,82,41.31,-8.72,64.0,10.29
152,isangel,75,VU,1572980146,83,-19.55,169.27,75.2,11.41
153,nome,90,US,1572980351,69,30.04,-94.42,81.0,6.93
154,carnarvon,83,ZA,1572980332,15,-30.97,22.13,80.82,17.02
155,nishihara,20,JP,1572980352,62,35.74,139.53,55.99,10.29
156,pontianak,85,ID,1572980915,95,-0.02,109.34,74.55,0.45
157,abu dhabi,0,AE,1572980882,69,24.47,54.37,82.4,4.7
158,inirida,44,CO,1572980915,88,3.87,-67.92,84.58,0.76
159,boyolangu,70,ID,1572980916,92,-8.09,111.9,71.29,3.24
160,nuuk,75,GL,1572980364,68,64.17,-51.74,33.01,5.82
161,grindavik,75,IS,1572980916,86,63.84,-22.43,33.8,8.05
162,wilmington,1,US,1572980916,44,39.75,-75.55,63.0,4.7
163,kathmandu,40,NP,1572980916,87,27.71,85.32,59.0,2.24
164,poum,20,MK,1572980317,67,41.28,20.71,60.8,14.99
165,buin,40,CL,1572980917,24,-33.73,-70.74,80.6,8.05
166,yishui,69,CN,1572980917,87,35.78,118.63,46.51,2.44
167,hambantota,40,LK,1572980917,100,6.12,81.12,75.2,2.24
168,mackay,90,CA,1572980917,85,53.65,-115.58,19.4,4.7
169,berezanka,0,UA,1572980918,75,46.86,31.39,57.9,9.53
170,svetlogorsk,90,RU,1572980336,63,53.14,59.15,30.2,15.66
171,shemonaikha,100,KZ,1572980918,88,50.63,81.92,33.21,3.78
172,kaeo,48,NZ,1572980372,100,-35.1,173.78,55.99,1.99
173,tuatapere,75,NZ,1572980375,95,-46.13,167.69,48.0,0.87
174,wageningen,90,NL,1572980919,100,51.98,5.66,50.0,2.24
175,saint george,20,GR,1572980919,82,39.45,22.34,60.8,8.05
176,sarapulka,90,RU,1572980919,80,56.87,61.06,39.2,11.18
177,ayan,91,IR,1572980919,44,38.23,44.7,37.26,0.69
178,rovinj,20,HR,1572980919,93,45.08,13.64,60.01,9.17
179,bowling green,40,US,1572980919,54,36.99,-86.44,60.8,4.7
180,tuktoyaktuk,75,CA,1572980920,85,69.44,-133.03,15.8,16.11
181,gold coast,0,AU,1572980833,51,-28.0,153.41,61.0,11.41
182,burgeo,52,CA,1572980920,73,47.61,-57.61,46.26,14.05
183,coquimbo,0,CL,1572980339,84,-29.95,-71.34,58.19,16.31
184,kodiak,75,US,1572980920,46,39.95,-94.76,52.0,8.05
185,ust-kulom,100,RU,1572980920,80,61.69,53.69,24.12,3.71
186,jinchang,0,CN,1572980920,54,38.52,102.19,37.76,7.52
187,meulaboh,71,ID,1572980357,77,4.14,96.13,80.6,7.54
188,kabare,20,RW,1572980354,68,-1.65,29.38,71.6,6.93
189,sayyan,0,YE,1572980921,32,15.17,44.32,57.51,4.18
190,barrow,0,AR,1572980921,30,-38.31,-60.23,72.3,8.59
191,lebu,20,ET,1572980921,55,8.96,38.73,60.8,13.87
192,anqing,18,CN,1572980922,50,30.51,117.04,56.8,5.99
193,derzhavinsk,98,KZ,1572980922,88,51.1,66.31,23.56,12.55
194,namatanai,100,PG,1572980922,81,-3.66,152.44,80.13,11.45
195,mecca,0,SA,1572980343,48,21.43,39.83,80.56,5.61
196,khovu-aksy,96,RU,1572980390,67,51.13,93.72,28.13,3.42
197,cross lanes,40,GB,1572980923,87,50.05,-5.22,54.0,16.11
198,karratha,44,AU,1572980330,51,-20.74,116.85,78.91,13.67
199,buta,81,CD,1572980923,91,2.79,24.73,73.44,1.79
200,oranjemund,18,ZA,1572980923,65,-28.55,16.43,64.85,10.67
201,kirakira,91,SB,1572980924,81,-10.46,161.92,77.56,1.88
202,leshukonskoye,0,RU,1572980769,94,64.9,45.76,18.82,5.88
203,sehithwa,8,BW,1572980924,22,-20.47,22.7,88.63,7.49
204,surt,0,LY,1572980924,60,31.21,16.59,72.7,8.63
205,constitucion,75,MX,1572980924,40,23.99,-104.67,71.6,6.93
206,kilindoni,6,TZ,1572980924,78,-7.91,39.67,81.61,15.01
207,mporokoso,41,ZM,1572980925,48,-9.37,30.12,70.88,3.62
208,basco,40,US,1572980925,52,40.33,-91.2,48.99,14.99
209,alagoinhas,2,BR,1572980925,38,-12.13,-38.42,91.4,8.52
210,kisaran,100,ID,1572980925,96,2.98,99.62,73.8,2.55
211,te anau,86,NZ,1572980325,91,-45.41,167.72,42.76,1.83
212,astana,90,KZ,1572980925,92,51.13,71.43,26.6,11.18
213,camalu,0,MX,1572980925,24,30.85,-116.07,74.55,4.72
214,aklavik,40,CA,1572980394,84,68.22,-135.01,6.8,2.24
215,vardo,1,US,1572980348,39,39.62,-77.74,64.0,10.29
216,maan,0,IN,1572980926,28,30.1,74.66,71.26,4.09
217,sungairaya,69,ID,1572980926,86,0.7,108.9,77.43,2.66
218,methoni,0,GR,1572980926,82,36.82,21.7,66.99,2.24
219,merrill,40,US,1572980926,61,42.03,-121.6,51.01,1.5
220,lamu,98,CN,1572980927,93,35.77,102.37,29.48,0.47
221,roald,100,NO,1572980346,69,62.58,6.12,33.8,11.41
222,faanui,1,PF,1572980927,74,-16.48,-151.75,80.46,6.4
223,vila velha,20,BR,1572980927,62,-3.71,-38.6,86.0,16.11
224,el alto,75,BO,1572980927,76,-16.5,-68.19,50.0,2.24
225,ola,100,RU,1572980345,62,59.58,151.3,27.72,13.73
226,umm lajj,67,SA,1572980351,53,25.02,37.27,78.91,6.02
227,broome,75,GB,1572980343,93,52.47,1.45,51.01,11.41
228,port elizabeth,1,US,1572980928,55,39.31,-74.98,66.0,9.17
229,vao,100,EE,1572980355,81,59.1,26.19,34.16,13.49
230,kalmunai,74,LK,1572980929,77,7.42,81.82,81.16,7.87
231,le mars,90,US,1572980929,54,42.79,-96.17,33.01,6.93
232,viedma,0,AR,1572980930,20,-40.81,-62.99,71.82,13.35
233,katherine,78,AU,1572980350,57,-14.47,132.26,77.0,4.7
234,kerrobert,90,CA,1572980930,85,51.92,-109.14,23.0,14.99
235,gidole,98,ET,1572980930,81,5.65,37.37,67.73,2.68
236,dahanu,0,IN,1572980930,74,19.97,72.73,83.52,1.28
237,bambous virieux,40,MU,1572980849,88,-20.34,57.76,73.4,3.36
238,xichang,93,CN,1572980930,96,27.88,102.25,45.12,2.13
239,iqaluit,75,CA,1572980368,85,63.75,-68.52,15.8,5.82
240,banjar,7,ID,1572980931,94,-7.37,108.54,70.77,0.89
241,salalah,0,OM,1572980931,78,17.01,54.1,82.4,3.36
242,rincon,40,PA,1572980931,74,8.46,-82.28,84.2,5.82
243,galesong,20,ID,1572980932,100,-5.32,119.37,71.6,2.24
244,mana,0,NG,1572980932,17,13.03,5.27,84.6,3.44
245,pangnirtung,90,CA,1572980342,85,66.15,-65.72,23.0,2.62
246,cairns,74,AU,1572980932,88,-16.92,145.77,68.0,2.24
247,nacala,3,MZ,1572980932,78,-14.56,40.69,76.15,6.87
248,luganville,75,VU,1572980932,94,-15.51,167.18,73.4,1.12
249,quatre cocos,40,MU,1572980354,88,-20.21,57.76,73.4,3.36
250,aldan,100,RU,1572980933,99,58.61,125.39,-5.37,3.78
251,bonthe,96,SL,1572980373,79,7.53,-12.5,82.36,7.16
252,fernley,20,US,1572980794,18,39.61,-119.25,61.0,4.7
253,soyo,100,AO,1572980933,82,-6.13,12.37,76.87,3.38
254,esfarayen,0,IR,1572980933,100,37.08,57.51,35.6,3.91
255,ancud,75,CL,1572980379,71,-41.87,-73.83,53.6,12.75
256,lata,0,IN,1572980934,54,30.78,78.62,24.84,2.42
257,newport,90,GB,1572980934,81,51.59,-3.0,51.01,12.75
258,caruray,75,PH,1572980934,94,10.31,119.01,77.0,4.7
259,kosh-agach,71,RU,1572980934,80,49.99,88.66,23.72,1.01
260,souillac,90,FR,1572980934,81,45.6,-0.6,53.01,13.87
261,marau,75,BR,1572980934,88,-28.45,-52.2,71.6,11.41
262,deputatskiy,100,RU,1572980934,96,69.3,139.9,0.93,0.87
263,ishigaki,29,JP,1572980935,72,24.34,124.16,74.07,20.18
264,vestmanna,77,FO,1572980935,74,62.16,-7.17,33.8,4.7
265,acapulco,20,MX,1572980831,70,16.86,-99.88,87.8,5.82
266,matagami,6,NG,1572980669,61,9.67,8.4,74.5,1.63
267,srednekolymsk,12,RU,1572980935,98,67.46,153.71,-2.57,5.26
268,ballina,75,IE,1572980935,93,54.11,-9.15,48.2,3.36
269,mogadishu,72,SO,1572980936,80,2.04,45.34,80.6,13.06
270,benalla,14,AU,1572980936,100,-36.55,145.99,53.01,3.56
271,komsomolskiy,100,RU,1572980337,94,67.55,63.78,20.1,19.04
272,adrar,0,DZ,1572980346,17,27.87,-0.29,84.2,8.05
273,halifax,75,CA,1572980844,71,44.65,-63.58,55.0,17.22
